bucket,datetime,trade_count,size_sum,amount_sum,vwap,avg_trade_size,max_trade_size,midpoint,midpoint_return,abs_midpoint_return,spread,spread_pct,bid_depth_top5,ask_depth_top5,total_depth,depth_change,depth_imbalance,depth_drop,abs_depth_imbalance,z_trade_count,z_amount_sum,z_avg_trade_size,z_spread,z_depth_drop,z_abs_midpoint_return,z_abs_depth_imbalance,activity_score,liquidity_score,price_dislocation_score,stress_score,is_stress_anomaly,market_file,market_stem
1770918240,2026-02-12 17:44:00,1,5.0,0.015,0.0029999999994,0.015,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.2650247068446548,-1.6728411928151103,-1.6077450616358027,0.0,0.0,0.0,0.0,-3.5456109612955675,0.0,0.0,-3.5456109612955675,False,1303357_YES.csv,1303357_YES
1770920580,2026-02-12 18:23:00,1,100.0,0.3,0.0029999999999699998,0.3,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.2650247068446548,-1.6678431871532349,-1.6027980485802493,0.0,0.0,0.0,0.0,-3.535665942578139,0.0,0.0,-3.535665942578139,False,1303357_YES.csv,1303357_YES
1770921000,2026-02-12 18:30:00,1,5.0,0.015,0.0029999999994,0.015,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.2650247068446548,-1.6699894587495865,-1.6050349375758313,0.0,0.0,0.0,0.0,-3.5400491031700723,0.0,0.0,-3.5400491031700723,False,1303357_YES.csv,1303357_YES
1770924300,2026-02-12 19:25:00,1,100.0,0.2,0.00199999999998,0.2,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.2650247068446548,-1.66613736152478,-1.6012460264512753,0.0,0.0,0.0,0.0,-3.53240809482071,0.0,0.0,-3.53240809482071,False,1303357_YES.csv,1303357_YES
1770930300,2026-02-12 21:05:00,1,1400.0,4.2,0.0029999999999978572,4.2,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.2650247068446548,-1.619470742635607,-1.5541281528180966,0.0,0.0,0.0,0.0,-3.4386236022983585,0.0,0.0,-3.4386236022983585,False,1303357_YES.csv,1303357_YES
1770932100,2026-02-12 21:35:00,1,1400.0,4.2,0.0029999999999978572,4.2,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.2650247068446548,-1.6208981959330608,-1.5554835415423092,0.0,0.0,0.0,0.0,-3.441406444320025,0.0,0.0,-3.441406444320025,False,1303357_YES.csv,1303357_YES
1770932760,2026-02-12 21:46:00,1,302.0,0.906,0.0029999999999900666,0.906,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.2650247068446548,-1.6602909208957046,-1.5952004691460948,0.0,0.0,0.0,0.0,-3.520516096886454,0.0,0.0,-3.520516096886454,False,1303357_YES.csv,1303357_YES
1770932820,2026-02-12 21:47:00,1,5.0,0.015,0.0029999999994,0.015,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.2650247068446548,-1.669751987887634,-1.6048083513447033,0.0,0.0,0.0,0.0,-3.5395850460769918,0.0,0.0,-3.5395850460769918,False,1303357_YES.csv,1303357_YES
1770933120,2026-02-12 21:52:00,1,5.0,0.015,0.0029999999994,0.015,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.2650247068446548,-1.6691830874786993,-1.6042676027216254,0.0,0.0,0.0,0.0,-3.538475397044979,0.0,0.0,-3.538475397044979,False,1303357_YES.csv,1303357_YES
1770933240,2026-02-12 21:54:00,1,5.0,0.015,0.0029999999994,0.015,,,0.0,0.0,,0.0,,,,0.0,,-0.0,,-0.2650247068446548,-1.6679605367000225,-1.603105574636884,0.0,0.0,0.0,0.0,-3.5360908181815613,0.0,0.0,-3.5360908181815613,False,1303357_YES.csv,1303357_YES
